"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NLIC","2025-10-13","726.66666666667","726.66666666667","702.85714285714","724.7619047619","1.60 %","-","-"
"NLIC","2025-10-12","720.57142857143","733.33333333333","707.71428571429","713.33333333333","-2.73 %","-","-"
"NLIC","2025-10-09","736.57142857143","772.28571428571","724.7619047619","733.33333333333","1.54 %","-","-"
"NLIC","2025-10-08","733.33333333333","733.33333333333","711.80952380952","722.19047619048","-1.52 %","-","-"
"NLIC","2025-10-07","738.09523809524","742.85714285714","727.61904761905","733.33333333333","-1.18 %","-","-"
"NLIC","2025-09-28","735.2380952381","747.61904761905","734.47619047619","742.09523809524","1.18 %","-","-"
"NLIC","2025-09-25","732.38095238095","735.42857142857","723.80952380952","733.42857142857","0.14 %","-","-"
"NLIC","2025-09-24","736.19047619048","740.95238095238","730.28571428571","732.38095238095","-1.16 %","-","-"
"NLIC","2025-09-23","716.19047619048","747.61904761905","716.19047619048","740.95238095238","2.44 %","-","-"
"NLIC","2025-09-21","676.19047619048","725.71428571429","671.42857142857","723.28571428571","6.96 %","-","-"
"NLIC","2025-09-18","717.90476190476","719.04761904762","668.57142857143","676.19047619048","-7.69 %","-","-"
"NLIC","2025-09-08","733.33333333333","736.95238095238","731.42857142857","732.51428571429","-0.44 %","-","-"
"NLIC","2025-09-07","736.19047619048","747.61904761905","733.33333333333","735.77142857143","-0.06 %","-","-"
"NLIC","2025-09-04","745.71428571429","745.71428571429","733.33333333333","736.18095238095","-0.33 %","-","-"
"NLIC","2025-09-03","742.85714285714","744.66666666667","738.09523809524","738.62857142857","-0.37 %","-","-"
"NLIC","2025-09-02","755.71428571429","755.71428571429","728.57142857143","741.4","0.06 %","-","-"
"NLIC","2025-09-01","755.14285714286","755.14285714286","738.09523809524","740.97142857143","0.08 %","-","-"
"NLIC","2025-08-31","747.61904761905","747.61904761905","738.57142857143","740.4","-0.85 %","-","-"
"NLIC","2025-08-28","740.85714285714","759.04761904762","740.85714285714","746.72380952381","-1.13 %","-","-"
"NLIC","2025-08-27","740","757.14285714286","737.14285714286","755.26666666667","2.42 %","-","-"
"NLIC","2025-08-26","740.95238095238","742.85714285714","735.2380952381","737.42857142857","-0.01 %","-","-"
"NLIC","2025-08-25","745.71428571429","745.71428571429","732.38095238095","737.49523809524","0.42 %","-","-"
"NLIC","2025-08-24","751.42857142857","751.42857142857","733.33333333333","734.42857142857","-0.69 %","-","-"
"NLIC","2025-08-21","753.33333333333","753.33333333333","737.14285714286","739.5619047619","-0.92 %","-","-"
"NLIC","2025-08-20","740","751.42857142857","739.14285714286","746.41904761905","-0.08 %","-","-"
"NLIC","2025-08-19","747.74285714286","759.04761904762","745.04761904762","747.04761904762","-0.09 %","-","-"
"NLIC","2025-08-18","760.95238095238","760.95238095238","744","747.74285714286","0.11 %","-","-"
"NLIC","2025-08-17","746.80952380952","759.04761904762","746.47619047619","746.89523809524","0.01 %","-","-"
"NLIC","2025-08-14","746.66666666667","747.61904761905","742.85714285714","746.80952380952","0.13 %","-","-"
"NLIC","2025-08-13","753.33333333333","754.28571428571","743.14285714286","745.80952380952","-0.80 %","-","-"
"NLIC","2025-08-12","752.38095238095","760.95238095238","748.57142857143","751.81904761905","-0.86 %","-","-"
"NLIC","2025-08-11","780.95238095238","780.95238095238","755.2380952381","758.32380952381","-1.01 %","-","-"
"NLIC","2025-08-07","760.95238095238","774.28571428571","760.09523809524","766.08571428571","0.81 %","-","-"
"NLIC","2025-08-06","771.42857142857","771.42857142857","752.47619047619","759.95238095238","-0.88 %","-","-"
"NLIC","2025-08-05","781.74285714286","788.57142857143","765.33333333333","766.70476190476","-1.92 %","-","-"
"NLIC","2025-08-04","775.2380952381","789.52380952381","771.52380952381","781.74285714286","0.96 %","-","-"
"NLIC","2025-08-03","790.47619047619","799.04761904762","772.28571428571","774.28571428571","-2.88 %","-","-"
"NLIC","2025-07-31","804.7619047619","812.38095238095","795.33333333333","797.24761904762","-1.72 %","-","-"
"NLIC","2025-07-30","823.80952380952","830.66666666667","809.71428571429","811.18095238095","-1.19 %","-","-"
"NLIC","2025-07-29","829.2380952381","838.09523809524","816.47619047619","820.95238095238","0.95 %","-","-"
"NLIC","2025-07-28","821.84761904762","821.84761904762","800.19047619048","813.2","-1.05 %","-","-"
"NLIC","2025-07-27","830.57142857143","847.61904761905","819.04761904762","821.84761904762","-1.06 %","-","-"
"NLIC","2025-07-24","830.57142857143","835.61904761905","825.71428571429","830.65714285714","-0.21 %","-","-"
"NLIC","2025-07-23","832.38095238095","841.90476190476","824.85714285714","832.4","-0.06 %","-","-"
"NLIC","2025-07-22","795.2380952381","834.28571428571","793.14285714286","832.93333333333","5.00 %","-","-"
"NLIC","2025-07-21","809.52380952381","809.52380952381","782.38095238095","793.26666666667","-0.06 %","-","-"
"NLIC","2025-07-20","776.19047619048","814.28571428571","769.52380952381","793.73333333333","3.16 %","-","-"
"NLIC","2025-07-17","750.47619047619","776.19047619048","748.57142857143","769.41904761905","4.52 %","-","-"
"NLIC","2025-07-16","751.42857142857","766.38095238095","733.33333333333","736.1619047619","-0.25 %","-","-"
"NLIC","2025-07-15","738.09523809524","740.38095238095","729.52380952381","737.99047619048","0.91 %","-","-"
"NLIC","2025-07-14","752.38095238095","752.38095238095","729.52380952381","731.35238095238","-1.20 %","-","-"
"NLIC","2025-07-13","752.38095238095","767.61904761905","738.09523809524","740.20952380952","0.29 %","-","-"
"NLIC","2025-07-10","726.66666666667","744.7619047619","726.66666666667","738.08571428571","1.21 %","-","-"
"NLIC","2025-07-09","727.61904761905","737.14285714286","727.61904761905","729.22857142857","0.02 %","-","-"
"NLIC","2025-07-08","735.2380952381","739.42857142857","724.7619047619","729.04761904762","-0.40 %","-","-"
